frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{1,0,0,2},{2,2,1,2},{0,1,2,2},{1,0,0,2},{2,0,0,2},{1,0,0,2},{0,1,2,2},{1,1,2,1},{1,1,2,1},{2,0,1,2},{1,1,1,2},{1,1,2,1},{2,0,1,2},{2,2,1,2},{2,2,1,2},{1,1,2,1},{2,0,0,2},{1,1,1,2},{1,0,0,2},{2,0,1,2},{1,1,1,2},{2,2,1,2},{1,1,2,1},{0,1,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1622,2381,-2492,221,-107,-7,7,-4,1}|3.2.857.4|{8,-80,-12,-1,1}
{{1,0,0,2},{1,0,0,2},{2,0,2,2},{2,1,2,2},{0,2,1,0},{1,2,1,1},{2,2,1,0},{1,0,0,2},{1,2,1,1},{2,0,2,2},{0,2,1,0},{2,1,2,2},{2,2,1,0},{2,1,2,2},{1,0,0,2},{1,0,0,2},{2,0,0,2},{0,2,1,0},{2,1,2,2},{2,0,2,2},{0,2,1,0},{1,0,0,2},{1,0,0,2},{2,2,1,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,999,0,-108,0,0,0,1}|3.2.857.5|{-12,-37,-12,0,1}
{{1,0,0,2},{1,0,0,2},{2,0,2,2},{1,2,1,1},{0,2,1,0},{2,1,2,2},{2,2,1,0},{1,0,0,2},{2,1,2,2},{2,0,2,2},{0,2,1,0},{1,2,1,1},{2,2,1,0},{1,2,1,1},{1,0,0,2},{1,0,0,2},{2,0,0,2},{0,2,1,0},{1,2,1,1},{2,0,2,2},{0,2,1,0},{1,0,0,2},{1,0,0,2},{2,2,1,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,999,0,-108,0,0,0,1}|3.2.857.6|{-12,-37,-12,0,1}
{{1,0,0,2},{2,2,1,2},{2,0,2,2},{2,2,1,2},{0,2,1,0},{2,2,1,2},{2,0,2,2},{1,1,2,1},{1,0,0,2},{1,0,1,1},{0,2,1,0},{1,0,0,2},{1,0,1,1},{1,0,0,2},{2,2,1,2},{1,1,2,1},{1,0,0,1},{0,2,1,0},{1,1,2,1},{2,0,2,2},{2,0,0,2},{1,1,2,1},{1,1,2,1},{1,0,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-216,-697,940,-513,325,-85,33,-4,1}|3.2.857.7|{-48,-108,-30,-1,1}
{{1,0,0,2},{1,1,2,1},{2,0,2,2},{1,1,2,1},{0,2,1,0},{1,1,2,1},{2,0,2,2},{2,2,1,2},{1,0,0,2},{1,0,1,1},{0,2,1,0},{1,0,0,2},{1,0,1,1},{1,0,0,2},{1,1,2,1},{2,2,1,2},{1,0,0,1},{0,2,1,0},{2,2,1,2},{2,0,2,2},{2,0,0,2},{2,2,1,2},{2,2,1,2},{1,0,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-216,-697,940,-513,325,-85,33,-4,1}|3.2.857.8|{-48,-108,-30,-1,1}
{{1,1,2,1},{1,0,0,2},{1,2,2,2},{1,0,0,2},{1,2,0,1},{2,2,1,2},{1,0,0,1},{1,1,2,1},{2,2,1,2},{2,0,0,2},{2,2,0,2},{1,1,2,1},{2,2,0,2},{1,0,0,2},{2,2,1,2},{1,1,2,1},{2,2,0,2},{1,2,0,1},{1,0,0,2},{1,2,2,2},{1,2,0,1},{1,0,0,2},{2,2,1,2},{1,2,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-128117,17960,-19178,2435,-1214,-7,7,-4,1}|3.2.859.1|{-1375,-575,-135,-1,1}
{{2,2,1,2},{1,0,0,2},{1,2,2,2},{1,0,0,2},{1,2,0,1},{1,1,2,1},{1,0,0,1},{2,2,1,2},{1,1,2,1},{2,0,0,2},{2,2,0,2},{2,2,1,2},{2,2,0,2},{1,0,0,2},{1,1,2,1},{2,2,1,2},{2,2,0,2},{1,2,0,1},{1,0,0,2},{1,2,2,2},{1,2,0,1},{1,0,0,2},{1,1,2,1},{1,2,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-128117,17960,-19178,2435,-1214,-7,7,-4,1}|3.2.859.2|{-1375,-575,-135,-1,1}
{{1,1,2,1},{1,1,2,1},{1,2,1,0},{0,1,1,0},{2,1,2,0},{0,1,1,0},{2,1,2,0},{1,1,2,1},{1,1,2,1},{2,1,2,0},{2,1,2,0},{0,1,1,0},{1,2,1,0},{2,2,1,2},{2,2,1,2},{1,1,2,1},{2,1,2,0},{2,1,2,0},{0,1,1,0},{1,1,1,2},{2,1,2,0},{0,1,1,0},{0,1,1,0},{2,1,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2043,1260,-1116,-289,148,-7,7,-4,1}|3.2.859.3|{-341,281,-57,-1,1}
{{2,2,1,2},{2,2,1,2},{1,2,1,0},{0,1,1,0},{2,1,2,0},{0,1,1,0},{2,1,2,0},{2,2,1,2},{2,2,1,2},{2,1,2,0},{2,1,2,0},{0,1,1,0},{1,2,1,0},{1,1,2,1},{1,1,2,1},{2,2,1,2},{2,1,2,0},{2,1,2,0},{0,1,1,0},{1,1,1,2},{2,1,2,0},{0,1,1,0},{0,1,1,0},{2,1,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2043,1260,-1116,-289,148,-7,7,-4,1}|3.2.859.4|{-341,281,-57,-1,1}
{{1,2,1,1},{1,0,0,2},{2,0,2,2},{1,0,0,2},{0,2,1,0},{1,0,0,2},{2,0,2,2},{2,1,2,2},{1,2,1,1},{2,2,1,0},{0,2,1,0},{1,2,1,1},{2,0,0,2},{1,0,0,2},{1,0,0,2},{2,1,2,2},{2,0,2,2},{2,0,2,2},{1,2,1,1},{0,2,1,0},{0,2,1,0},{1,0,0,2},{1,2,1,1},{2,0,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{25,-148,136,23,-8,-7,7,-4,1}|3.2.859.5|{25,-148,-12,-1,1}
{{2,1,2,2},{1,0,0,2},{2,0,2,2},{1,0,0,2},{0,2,1,0},{1,0,0,2},{2,0,2,2},{1,2,1,1},{2,1,2,2},{2,2,1,0},{0,2,1,0},{2,1,2,2},{2,0,0,2},{1,0,0,2},{1,0,0,2},{1,2,1,1},{2,0,2,2},{2,0,2,2},{2,1,2,2},{0,2,1,0},{0,2,1,0},{1,0,0,2},{2,1,2,2},{2,0,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{25,-148,136,23,-8,-7,7,-4,1}|3.2.859.6|{25,-148,-12,-1,1}
{{2,1,1,0},{0,1,2,0},{2,1,1,0},{2,1,2,0},{1,0,1,2},{0,1,2,1},{1,0,1,2},{1,0,1,2},{0,1,2,1},{0,1,2,0},{2,1,1,0},{2,1,2,0},{1,0,1,2},{1,0,1,2},{1,0,1,2},{0,1,2,1},{2,1,2,0},{2,1,1,0},{0,1,2,1},{2,1,2,0},{2,1,1,0},{2,1,1,0},{0,1,2,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-15552,0,7116,0,-432,0,0,0,1}|3.2.862.1|{-768,-350,-96,0,1}
{{1,2,2,0},{0,1,2,0},{1,2,2,0},{2,1,2,0},{1,0,1,2},{0,1,2,1},{1,0,1,2},{1,0,1,2},{0,1,2,1},{0,1,2,0},{1,2,2,0},{2,1,2,0},{1,0,1,2},{1,0,1,2},{1,0,1,2},{0,1,2,1},{2,1,2,0},{1,2,2,0},{0,1,2,1},{2,1,2,0},{1,2,2,0},{1,2,2,0},{0,1,2,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-15552,0,7116,0,-432,0,0,0,1}|3.2.862.2|{-768,-350,-96,0,1}
{{1,0,0,2},{1,1,0,1},{2,2,1,2},{2,1,1,1},{1,0,0,2},{0,2,1,1},{1,0,0,2},{1,1,2,1},{1,1,0,1},{0,2,1,1},{1,0,0,2},{2,1,1,1},{2,2,1,2},{2,2,1,2},{1,0,0,2},{1,1,0,1},{1,1,0,1},{1,1,2,1},{1,1,0,1},{2,1,1,1},{1,0,0,2},{1,1,2,1},{2,0,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1372,-1568,-1064,-116,248,44,-31,-2,1}|3.2.862.3|{15,-36,-6,-2,1}
{{1,0,0,2},{1,1,0,1},{1,1,2,1},{2,1,1,1},{1,0,0,2},{0,2,1,1},{1,0,0,2},{2,2,1,2},{1,1,0,1},{0,2,1,1},{1,0,0,2},{2,1,1,1},{1,1,2,1},{1,1,2,1},{1,0,0,2},{1,1,0,1},{1,1,0,1},{2,2,1,2},{1,1,0,1},{2,1,1,1},{1,0,0,2},{2,2,1,2},{2,0,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1372,-1568,-1064,-116,248,44,-31,-2,1}|3.2.862.4|{15,-36,-6,-2,1}
{{2,2,1,2},{2,0,1,2},{2,2,1,2},{0,1,2,0},{1,1,2,1},{2,0,1,2},{2,0,0,1},{2,0,0,1},{2,0,1,2},{0,1,2,2},{2,2,1,2},{0,1,2,0},{2,0,0,1},{2,0,0,1},{2,0,0,1},{0,1,2,2},{2,0,1,2},{2,0,0,1},{2,0,1,2},{0,1,2,0},{1,1,2,1},{2,0,0,1},{0,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1142,1274,-1472,425,-284,83,-23,-4,1}|3.2.862.5|{-108,189,27,-1,1}
{{1,1,2,1},{2,0,1,2},{1,1,2,1},{0,1,2,0},{2,2,1,2},{2,0,1,2},{2,0,0,1},{2,0,0,1},{2,0,1,2},{0,1,2,2},{1,1,2,1},{0,1,2,0},{2,0,0,1},{2,0,0,1},{2,0,0,1},{0,1,2,2},{2,0,1,2},{2,0,0,1},{2,0,1,2},{0,1,2,0},{2,2,1,2},{2,0,0,1},{0,1,2,0}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1142,1274,-1472,425,-284,83,-23,-4,1}|3.2.862.6|{-108,189,27,-1,1}
{{2,2,1,2},{2,0,2,2},{0,1,1,0},{1,2,2,2},{2,2,1,2},{2,0,2,2},{0,1,1,0},{1,1,2,1},{2,0,2,2},{1,0,2,1},{1,1,2,1},{1,2,2,2},{2,2,1,2},{1,1,2,1},{0,1,1,0},{1,0,2,1},{2,0,2,2},{1,1,2,1},{1,0,2,1},{1,2,2,2},{1,1,2,1},{2,2,1,2},{1,2,2,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-256,256,-208,-97,52,-7,7,-4,1}|3.2.862.7|{-108,-110,-36,0,1}
{{1,1,2,1},{2,0,2,2},{0,1,1,0},{1,2,2,2},{1,1,2,1},{2,0,2,2},{0,1,1,0},{2,2,1,2},{2,0,2,2},{1,0,2,1},{2,2,1,2},{1,2,2,2},{1,1,2,1},{2,2,1,2},{0,1,1,0},{1,0,2,1},{2,0,2,2},{2,2,1,2},{1,0,2,1},{1,2,2,2},{2,2,1,2},{1,1,2,1},{1,2,2,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-256,256,-208,-97,52,-7,7,-4,1}|3.2.862.8|{-108,-110,-36,0,1}
{{2,2,1,0},{2,1,1,0},{1,0,1,2},{1,0,1,2},{1,2,2,0},{0,2,1,1},{0,2,1,1},{1,2,2,0},{2,2,2,1},{0,2,1,1},{0,2,1,1},{0,2,1,1},{2,2,2,1},{1,2,2,0},{2,2,2,1},{2,2,1,0},{2,2,1,0},{2,1,1,0},{2,2,1,0},{2,1,1,0},{2,1,1,0},{1,2,2,0},{1,2,2,0},{1,0,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3528,-1899,-819,753,237,-72,-14,-1,1}|3.2.863.1|{-12,-1,3,0,1}
{{2,2,1,0},{1,2,2,0},{1,0,1,2},{1,0,1,2},{2,1,1,0},{0,2,1,1},{0,2,1,1},{2,1,1,0},{2,2,2,1},{0,2,1,1},{0,2,1,1},{0,2,1,1},{2,2,2,1},{2,1,1,0},{2,2,2,1},{2,2,1,0},{2,2,1,0},{1,2,2,0},{2,2,1,0},{1,2,2,0},{1,2,2,0},{2,1,1,0},{2,1,1,0},{1,0,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3528,-1899,-819,753,237,-72,-14,-1,1}|3.2.863.2|{-12,-1,3,0,1}
{{1,1,2,1},{1,1,2,1},{2,2,0,2},{1,1,2,1},{1,0,0,1},{1,0,0,2},{0,1,2,0},{1,0,0,2},{2,2,1,2},{2,1,2,0},{2,2,0,2},{1,0,0,2},{2,2,0,2},{1,0,0,2},{2,2,1,2},{1,1,2,1},{0,1,2,0},{0,1,2,0},{1,1,2,1},{2,1,2,0},{2,2,0,2},{1,0,0,2},{1,0,0,2},{2,2,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1703,464,-602,275,-134,-7,7,-4,1}|3.2.863.3|{-17,-7,-15,-1,1}
{{2,2,1,2},{2,2,1,2},{2,2,0,2},{2,2,1,2},{1,0,0,1},{1,0,0,2},{0,1,2,0},{1,0,0,2},{1,1,2,1},{2,1,2,0},{2,2,0,2},{1,0,0,2},{2,2,0,2},{1,0,0,2},{1,1,2,1},{2,2,1,2},{0,1,2,0},{0,1,2,0},{2,2,1,2},{2,1,2,0},{2,2,0,2},{1,0,0,2},{1,0,0,2},{2,2,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1703,464,-602,275,-134,-7,7,-4,1}|3.2.863.4|{-17,-7,-15,-1,1}
{{2,2,0,2},{0,2,2,2},{1,1,0,2},{1,1,0,2},{0,2,2,2},{1,2,0,1},{2,2,0,2},{0,1,1,1},{0,1,2,0},{2,2,0,2},{2,2,0,2},{1,2,0,1},{0,1,2,0},{0,1,1,1},{0,1,2,0},{2,2,0,2},{1,2,0,1},{0,1,1,1},{2,2,0,2},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,1,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-81,339,-456,246,-152,32,-6,-4,1}|3.2.863.5|{-12,-1,3,0,1}
{{2,2,0,2},{0,1,1,1},{1,1,0,2},{1,1,0,2},{0,1,1,1},{1,2,0,1},{2,2,0,2},{0,2,2,2},{0,1,2,0},{2,2,0,2},{2,2,0,2},{1,2,0,1},{0,1,2,0},{0,2,2,2},{0,1,2,0},{2,2,0,2},{1,2,0,1},{0,2,2,2},{2,2,0,2},{0,2,2,2},{0,2,2,2},{0,2,2,2},{0,2,2,2},{1,1,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-81,339,-456,246,-152,32,-6,-4,1}|3.2.863.6|{-12,-1,3,0,1}
{{2,2,1,2},{0,2,1,1},{2,0,0,1},{0,2,1,1},{2,2,1,2},{1,1,2,1},{2,1,2,0},{0,2,1,1},{2,0,0,1},{2,1,2,0},{2,1,2,0},{2,2,1,2},{2,1,2,0},{2,2,2,1},{1,1,2,1},{2,2,1,2},{0,2,1,1},{1,1,2,1},{1,1,2,1},{2,0,0,1},{2,0,0,1},{0,2,1,1},{2,2,2,1},{1,1,2,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,17,88,167,100,-10,-20,-1,1}|3.2.863.7|{1,2,-6,-1,1}
{{1,1,2,1},{0,2,1,1},{2,0,0,1},{0,2,1,1},{1,1,2,1},{2,2,1,2},{2,1,2,0},{0,2,1,1},{2,0,0,1},{2,1,2,0},{2,1,2,0},{1,1,2,1},{2,1,2,0},{2,2,2,1},{2,2,1,2},{1,1,2,1},{0,2,1,1},{2,2,1,2},{2,2,1,2},{2,0,0,1},{2,0,0,1},{0,2,1,1},{2,2,2,1},{2,2,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,17,88,167,100,-10,-20,-1,1}|3.2.863.8|{1,2,-6,-1,1}
{{0,1,1,1},{1,0,1,1},{1,1,0,2},{1,0,1,1},{0,2,2,2},{0,2,2,2},{1,0,1,1},{1,0,1,1},{1,1,0,2},{1,0,1,1},{1,0,1,1},{0,1,1,1},{1,0,1,1},{1,1,1,2},{0,2,2,2},{0,1,1,1},{2,0,1,2},{0,1,1,1},{0,2,2,2},{1,1,0,2},{1,1,0,2},{1,0,1,1},{1,1,1,2},{0,1,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{87,111,108,-12,0,-6,15,-3,1}|3.2.863.9|{1,2,-6,-1,1}
{{0,2,2,2},{1,0,1,1},{1,1,0,2},{1,0,1,1},{0,1,1,1},{0,1,1,1},{1,0,1,1},{1,0,1,1},{1,1,0,2},{1,0,1,1},{1,0,1,1},{0,2,2,2},{1,0,1,1},{1,1,1,2},{0,1,1,1},{0,2,2,2},{2,0,1,2},{0,2,2,2},{0,1,1,1},{1,1,0,2},{1,1,0,2},{1,0,1,1},{1,1,1,2},{0,2,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{87,111,108,-12,0,-6,15,-3,1}|3.2.863.10|{1,2,-6,-1,1}
{{1,0,0,2},{0,1,2,2},{2,1,2,2},{1,1,2,0},{2,1,2,2},{1,1,2,0},{1,0,0,2},{1,0,0,2},{0,1,2,2},{0,1,2,0},{2,1,2,2},{0,1,2,2},{1,0,0,2},{1,0,0,2},{1,2,1,1},{0,1,2,2},{1,1,2,0},{1,2,1,1},{1,1,2,0},{1,0,0,1},{1,0,0,2},{2,1,2,2},{0,1,2,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12600,-4275,3870,809,-401,-7,7,-4,1}|3.2.865.1|{-2320,86,63,-2,1}
{{1,0,0,2},{0,1,2,2},{1,2,1,1},{1,1,2,0},{1,2,1,1},{1,1,2,0},{1,0,0,2},{1,0,0,2},{0,1,2,2},{0,1,2,0},{1,2,1,1},{0,1,2,2},{1,0,0,2},{1,0,0,2},{2,1,2,2},{0,1,2,2},{1,1,2,0},{2,1,2,2},{1,1,2,0},{1,0,0,1},{1,0,0,2},{1,2,1,1},{0,1,2,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12600,-4275,3870,809,-401,-7,7,-4,1}|3.2.865.2|{-2320,86,63,-2,1}
{{1,1,1,0},{0,2,1,1},{1,2,0,2},{2,1,1,1},{2,2,2,0},{2,1,1,1},{1,2,0,2},{1,2,0,2},{2,2,1,0},{2,2,1,0},{1,2,0,2},{2,2,1,0},{1,2,0,2},{1,2,0,2},{1,2,0,2},{2,1,1,1},{0,2,1,1},{1,1,1,0},{0,2,1,1},{2,1,1,1},{2,2,2,0},{1,2,0,2},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2187,0,0,0,-162,0,-17,0,1}|3.2.865.3|{-243,-153,54,0,1}
{{2,2,2,0},{0,2,1,1},{1,2,0,2},{2,1,1,1},{1,1,1,0},{2,1,1,1},{1,2,0,2},{1,2,0,2},{2,2,1,0},{2,2,1,0},{1,2,0,2},{2,2,1,0},{1,2,0,2},{1,2,0,2},{1,2,0,2},{2,1,1,1},{0,2,1,1},{2,2,2,0},{0,2,1,1},{2,1,1,1},{1,1,1,0},{1,2,0,2},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2187,0,0,0,-162,0,-17,0,1}|3.2.865.4|{-243,-153,54,0,1}
{{2,2,1,2},{0,2,1,1},{0,2,1,1},{2,0,0,1},{1,1,2,1},{2,2,1,2},{2,2,1,0},{2,2,1,2},{0,2,1,1},{1,1,2,1},{2,2,1,2},{2,0,0,1},{0,2,1,0},{2,0,0,1},{2,2,1,0},{2,0,0,1},{1,1,2,1},{2,2,1,0},{2,2,1,2},{1,1,2,1},{2,2,1,0},{1,1,2,1},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1325,395,-398,-1,19,-25,13,-4,1}|3.2.865.5|{-5,2,0,-1,1}
{{1,1,2,1},{0,2,1,1},{0,2,1,1},{2,0,0,1},{2,2,1,2},{1,1,2,1},{2,2,1,0},{1,1,2,1},{0,2,1,1},{2,2,1,2},{1,1,2,1},{2,0,0,1},{0,2,1,0},{2,0,0,1},{2,2,1,0},{2,0,0,1},{2,2,1,2},{2,2,1,0},{1,1,2,1},{2,2,1,2},{2,2,1,0},{2,2,1,2},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1325,395,-398,-1,19,-25,13,-4,1}|3.2.865.6|{-5,2,0,-1,1}
{{1,2,0,2},{2,2,2,1},{2,2,2,0},{0,2,1,2},{1,2,0,2},{0,1,2,1},{1,2,0,2},{1,2,0,2},{2,2,2,1},{0,2,1,2},{1,2,0,2},{2,2,2,1},{1,2,0,2},{2,2,2,0},{1,2,0,2},{2,2,2,1},{0,1,2,1},{1,2,0,2},{0,2,1,2},{0,1,2,1},{1,2,0,2},{1,2,0,2},{0,1,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1304,2864,-2948,167,-80,-7,7,-4,1}|3.2.865.7|{-48,-109,-24,0,1}
{{1,2,0,2},{2,2,2,1},{1,1,1,0},{0,2,1,2},{1,2,0,2},{0,1,2,1},{1,2,0,2},{1,2,0,2},{2,2,2,1},{0,2,1,2},{1,2,0,2},{2,2,2,1},{1,2,0,2},{1,1,1,0},{1,2,0,2},{2,2,2,1},{0,1,2,1},{1,2,0,2},{0,2,1,2},{0,1,2,1},{1,2,0,2},{1,2,0,2},{0,1,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1304,2864,-2948,167,-80,-7,7,-4,1}|3.2.865.8|{-48,-109,-24,0,1}
{{2,1,0,1},{2,1,1,1},{0,2,2,1},{2,2,1,0},{0,1,1,2},{2,2,1,0},{0,1,1,2},{2,1,0,1},{1,0,0,1},{0,2,1,1},{2,1,0,1},{2,1,1,1},{0,2,2,1},{0,1,1,2},{0,2,2,1},{2,1,1,1},{2,2,1,0},{2,1,0,1},{2,2,1,0},{0,2,1,1},{0,2,2,1},{0,2,2,1},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-806,-451,556,-211,109,-7,7,-4,1}|3.2.865.9|{-310,-83,-63,-1,1}
{{2,1,0,1},{2,1,1,1},{0,1,1,2},{2,2,1,0},{0,2,2,1},{2,2,1,0},{0,2,2,1},{2,1,0,1},{1,0,0,1},{0,2,1,1},{2,1,0,1},{2,1,1,1},{0,1,1,2},{0,2,2,1},{0,1,1,2},{2,1,1,1},{2,2,1,0},{2,1,0,1},{2,2,1,0},{0,2,1,1},{0,1,1,2},{0,1,1,2},{0,2,1,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-806,-451,556,-211,109,-7,7,-4,1}|3.2.865.10|{-310,-83,-63,-1,1}
{{1,0,0,2},{2,1,1,1},{1,0,0,2},{2,1,0,2},{2,2,1,2},{1,0,1,1},{1,1,2,1},{1,0,0,2},{2,1,1,1},{2,1,0,2},{1,0,0,2},{1,0,0,1},{2,2,1,2},{1,0,0,2},{1,1,2,1},{2,1,1,1},{1,0,1,1},{1,0,0,2},{2,1,0,2},{1,0,1,1},{1,1,2,1},{2,2,1,2},{2,1,0,2}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-450,-2763,2880,-235,121,-7,7,-4,1}|3.2.865.11|{-108,-147,-36,0,1}
{{1,0,0,2},{2,1,1,1},{1,0,0,2},{2,1,0,2},{1,1,2,1},{1,0,1,1},{2,2,1,2},{1,0,0,2},{2,1,1,1},{2,1,0,2},{1,0,0,2},{1,0,0,1},{1,1,2,1},{1,0,0,2},{2,2,1,2},{2,1,1,1},{1,0,1,1},{1,0,0,2},{2,1,0,2},{1,0,1,1},{2,2,1,2},{1,1,2,1},{2,1,0,2}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-450,-2763,2880,-235,121,-7,7,-4,1}|3.2.865.12|{-108,-147,-36,0,1}
{{2,2,1,2},{0,1,2,1},{1,2,0,1},{0,1,1,0},{1,1,2,1},{1,1,2,1},{0,1,2,1},{2,2,1,2},{0,1,2,1},{2,2,1,2},{2,2,1,2},{0,1,1,0},{0,1,2,0},{0,1,1,0},{0,1,2,1},{0,1,1,0},{2,2,1,2},{0,1,2,1},{1,1,2,1},{2,2,1,2},{0,1,2,1},{1,1,2,1},{0,1,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-143,239,-368,263,-143,11,1,-4,1}|3.2.865.13|{-5,2,0,-1,1}
{{1,1,2,1},{0,1,2,1},{1,2,0,1},{0,1,1,0},{2,2,1,2},{2,2,1,2},{0,1,2,1},{1,1,2,1},{0,1,2,1},{1,1,2,1},{1,1,2,1},{0,1,1,0},{0,1,2,0},{0,1,1,0},{0,1,2,1},{0,1,1,0},{1,1,2,1},{0,1,2,1},{2,2,1,2},{1,1,2,1},{0,1,2,1},{2,2,1,2},{0,1,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-143,239,-368,263,-143,11,1,-4,1}|3.2.865.14|{-5,2,0,-1,1}
{{0,1,1,1},{2,1,2,0},{0,1,2,1},{1,0,1,2},{0,2,2,2},{0,2,2,2},{0,1,2,1},{0,2,2,2},{0,1,2,1},{0,2,2,2},{0,2,2,2},{1,0,1,2},{2,1,1,1},{1,0,1,2},{2,1,2,0},{1,0,1,2},{0,2,2,2},{2,1,2,0},{0,1,1,1},{0,1,1,1},{0,1,2,1},{0,1,1,1},{2,1,2,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-125,55,-5,-59,61,-5,4,-2,1}|3.2.865.15|{-5,2,0,-1,1}
